"participant","session","run","collisions","duration","distance","cumrun","fluency","absorption","flow","pi1","pi2","pi3","comp1","comp2","comp3"
"02",7,1,12,175.437070529262,24198.3403999987,31,4.25,6,5.22222222222222,6,5,1,NA,NA,NA
"02",7,2,11,166.8127495392,24197.4679999991,32,5,5.8,5.44444444444444,6,6,1,NA,NA,NA
"02",7,3,7,162.975164571529,24196.5892000001,33,5,5.8,5.44444444444444,6,6,1,NA,NA,NA
"02",7,4,6,172.714833624279,24196.6231999997,34,4.5,5.8,5.22222222222222,6,6,1,NA,NA,NA
"02",7,5,9,168.748276753235,24198.3531999991,35,4.25,6,5.22222222222222,5,5,1,3,4,4
"02",8,1,9,165.040035254879,24196.4227999997,36,4.75,5.6,5.22222222222222,6,6,2,NA,NA,NA
"02",8,2,12,165.547384653644,24198.5659999992,37,4.75,6,5.44444444444444,6,7,2,NA,NA,NA
"02",8,3,6,167.562123435961,24198.2835999994,38,5.25,6,5.66666666666667,7,7,2,NA,NA,NA
"02",8,4,11,174.963812305562,24198.8051999994,39,4,5.8,5,6,5,2,NA,NA,NA
"02",8,5,13,168.926753966784,24196.8871999989,40,4,5.6,4.88888888888889,6,7,3,5,4,4
"03",1,1,28,253.957703451659,24197.2643999994,1,3.75,6.4,5.22222222222222,6,3,3,NA,NA,NA
"03",1,2,37,220.137390517373,24197.8512000013,2,2.25,5,3.77777777777778,5,2,2,NA,NA,NA
"03",1,3,24,225.589509757741,24198.2972000008,3,5.25,5.6,5.44444444444444,3,2,2,NA,NA,NA
"03",1,4,22,198.334789607086,24197.351999999,4,5.25,5.4,5.33333333333333,3,2,1,NA,NA,NA
"03",1,5,23,214.834669409035,24197.1708000022,5,4.5,5.6,5.11111111111111,3,2,1,4,3,4
"03",2,1,28,203.161248245791,24198.1487999989,6,3.5,5,4.33333333333333,4,1,1,NA,NA,NA
"03",2,2,25,194.708144746736,24197.6795999983,7,4.25,5.4,4.88888888888889,4,1,2,NA,NA,NA
"03",2,3,26,190.438414955856,24196.4219999996,8,4.5,5.2,4.88888888888889,4,2,2,NA,NA,NA
"03",2,4,32,197.960795686719,24196.4503999984,9,4.25,5.2,4.77777777777778,4,1,2,NA,NA,NA
"03",2,5,24,198.34769102713,24196.9703999987,10,4.25,5.4,4.88888888888889,4,1,1,1,5,5
"03",3,1,25,196.775452948726,24198.1307999982,11,4,4.8,4.44444444444444,3,1,1,NA,NA,NA
"03",3,2,25,193.720576618503,24197.7063999989,12,3,5,4.11111111111111,3,1,1,NA,NA,NA
"03",3,3,21,186.504148657294,24196.8704000003,13,5,5.2,5.11111111111111,3,1,1,NA,NA,NA
"03",3,4,17,174.494088846022,24199.1523999991,14,5.25,5.4,5.33333333333333,3,1,1,NA,NA,NA
"03",3,5,24,201.354868918423,24197.1131999999,15,3.25,4.4,3.88888888888889,2,1,1,3,5,4
"03",4,1,20,188.176783782967,24197.6284000001,16,5.25,5.2,5.22222222222222,3,1,1,NA,NA,NA
"03",4,2,15,191.033376780175,24196.5859999995,17,5,5.6,5.33333333333333,4,1,1,NA,NA,NA
"03",4,3,20,181.749693287731,24197.7772000007,18,5.5,5.8,5.66666666666667,4,1,1,NA,NA,NA
"03",4,4,21,208.100381464242,24198.1875999998,19,4.5,5,4.77777777777778,4,1,1,NA,NA,NA
"03",4,5,19,194.791992030357,24198.1059999989,20,5,5.8,5.44444444444444,4,1,1,2,4,4
"03",5,1,17,225.755707091246,24197.4888000002,21,4.25,5.2,4.77777777777778,3,1,1,NA,NA,NA
"03",5,2,20,183.965191814635,24197.1412000004,22,5,5.6,5.33333333333333,4,2,1,NA,NA,NA
"03",5,3,23,177.210238338351,24196.7208000005,23,4.75,6,5.44444444444444,4,1,1,NA,NA,NA
"03",5,4,12,179.834594559539,24198.8135999998,24,5.75,6.2,6,4,1,1,NA,NA,NA
"03",5,5,24,173.087653636515,24198.9051999983,25,5,6.2,5.66666666666667,4,1,1,3,5,4
"03",6,1,22,193.120405445041,24198.5635999993,26,5,5.8,5.44444444444444,2,1,1,NA,NA,NA
"03",6,2,15,191.548226568041,24199.2079999999,27,5.75,6.2,6,3,1,1,NA,NA,NA
"03",6,3,20,180.464382515268,24198.5076000007,28,5.25,6.4,5.88888888888889,3,1,1,NA,NA,NA
"03",6,4,16,175.626519327857,24197.7667999993,29,4,5.8,5,3,1,1,NA,NA,NA
"03",6,5,18,190.302291782628,24197.2695999996,30,3.25,5,4.22222222222222,3,1,1,3,4,4
"03",7,1,13,176.0031912178,24197.0884000001,31,6,6.6,6.33333333333333,5,2,1,NA,NA,NA
"03",7,2,11,173.549669894618,24199.3027999995,32,6.5,7,6.77777777777778,5,1,1,NA,NA,NA
"03",7,3,14,176.280931272886,24198.7900000001,33,6.25,6.6,6.44444444444444,3,1,1,NA,NA,NA
"03",7,4,14,180.731760699381,24197.3760000006,34,6,6.4,6.22222222222222,4,1,1,NA,NA,NA
"03",7,5,19,190.936508199667,24198.1888000001,35,5,6.2,5.66666666666667,3,1,1,3,5,4
"03",8,1,22,186.867981708459,24196.4035999988,36,4.5,6,5.33333333333333,5,2,2,NA,NA,NA
"03",8,2,12,179.108116213117,24199.0543999998,37,6,6.6,6.33333333333333,4,1,1,NA,NA,NA
"03",8,3,21,180.800609913087,24198.3596,38,4.5,5.8,5.22222222222222,4,1,1,NA,NA,NA
"03",8,4,11,167.148562939832,24197.1495999997,39,5.75,6.6,6.22222222222222,3,1,1,NA,NA,NA
"03",8,5,19,183.218280179678,24197.9316000005,40,5.25,6.2,5.77777777777778,3,1,1,2,5,4
"04",1,1,38,294.117117762883,24196.4284000019,1,2.5,5.6,4.22222222222222,5,5,5,NA,NA,NA
"04",1,2,38,244.593424362024,24197.474,2,3.5,5.2,4.44444444444444,5,5,4,NA,NA,NA
"04",1,3,22,211.364058929716,24198.3107999998,3,4,5.6,4.88888888888889,5,5,3,NA,NA,NA
"04",1,4,32,193.93571354732,24197.3575999991,4,3.5,5.2,4.44444444444444,5,5,4,NA,NA,NA
"04",1,5,26,222.314182346051,24198.3092000011,5,4,5.8,5,5,3,4,4,3,4
"04",2,1,40,224.245717735266,24196.9332000016,6,2.5,4.2,3.44444444444444,5,4,4,NA,NA,NA
"04",2,2,27,216.984801666095,24198.0376000016,7,3.5,4.8,4.22222222222222,5,5,4,NA,NA,NA
"04",2,3,35,209.1736538319,24197.2143999989,8,2.75,5,4,5,5,4,NA,NA,NA
"04",2,4,25,203.315080720349,24197.1455999983,9,3.75,4.2,4,4,3,3,NA,NA,NA
"04",2,5,31,203.038968267745,24197.6943999993,10,3.25,4.8,4.11111111111111,4,4,4,5,2,4
"04",3,1,31,194.002892555133,24197.8451999994,11,4,5,4.55555555555556,5,5,3,NA,NA,NA
"04",3,2,22,200.977440069203,24198.5303999989,12,4,5,4.55555555555556,5,4,3,NA,NA,NA
"04",3,3,22,186.009639493618,24198.6532000011,13,4.75,5.2,5,5,2,3,NA,NA,NA
"04",3,4,25,190.9812361821,24197.4159999989,14,4.5,4.8,4.66666666666667,5,3,3,NA,NA,NA
"04",3,5,27,199.389460947092,24196.423599999,15,4.5,5,4.77777777777778,5,3,3,3,4,4
"04",4,1,19,205.304618020008,24197.3048000002,16,3.25,4.6,4,5,3,4,NA,NA,NA
"04",4,2,27,200.617911757055,24197.6963999999,17,3,4.6,3.88888888888889,4,4,4,NA,NA,NA
"04",4,3,27,201.059708457483,24198.7555999996,18,2.75,4,3.44444444444444,4,3,5,NA,NA,NA
"04",4,4,19,193.208829170733,24196.4611999995,19,3.5,4,3.77777777777778,4,3,4,NA,NA,NA
"04",4,5,25,184.060742941167,24197.2040000003,20,3.75,4.2,4,5,4,4,4,3,4
"04",5,1,21,188.168625064518,24196.6848,21,4.25,4.4,4.33333333333333,5,4,4,NA,NA,NA
"04",5,2,12,178.228814987053,24199.1716000002,22,4.5,4.4,4.44444444444444,5,5,3,NA,NA,NA
"04",5,3,21,190.768531393002,24198.3839999997,23,3.75,4.4,4.11111111111111,5,5,4,NA,NA,NA
"04",5,4,16,200.724620858321,24197.2471999997,24,3.5,4.4,4,4,3,5,NA,NA,NA
"04",5,5,30,181.818357471669,24198.3188000005,25,4,4.6,4.33333333333333,5,4,3,4,4,4
"04",6,1,23,182.962846431282,24196.9836,26,4.5,4.4,4.44444444444444,5,5,4,NA,NA,NA
"04",6,2,17,181.799130869611,24197.0044000006,27,3.75,4,3.88888888888889,4,4,5,NA,NA,NA
"04",6,3,12,183.421441930421,24197.1143999997,28,4.5,4.4,4.44444444444444,5,3,3,NA,NA,NA
"04",6,4,20,190.094421381466,24197.3356000005,29,3.75,3.6,3.66666666666667,4,4,4,NA,NA,NA
